adduct_type,charge,offset,multiplier,M_multiply,C_add,H_add,N_add,O_add,S_add,Na_add,K_add,H_subtract
2Mp3H2Op2H,2.0,56.046247,2.0,2.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,2.0
2MpACNpH,1.0,42.033826,2.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
2MpACNpNa,1.0,64.016321,2.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0
2MpH,1.0,1.007276,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2MpK,1.0,38.963707,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2MpNa,1.0,22.989771,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2MpNH4,1.0,18.033823,2.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
Mp2ACNp2H,2.0,84.067652,1.0,1.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,2.0
Mp2ACNpH,1.0,83.060376,1.0,1.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0
Mp2H,2.0,2.014552,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Mp2HpNa,3.0,25.0043229,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0
Mp2KmH,1.0,76.91904,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Mp2KpH,3.0,78.934689,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0
Mp2Na,2.0,45.979542,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
Mp2NamH,1.0,44.97116,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
Mp3ACNp2H,2.0,125.094202,1.0,1.0,6.0,11.0,3.0,0.0,0.0,0.0,0.0,2.0
Mp3H,3.0,3.021828,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
Mp3Na,3.0,68.969313,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
MpACNp2H,2.0,43.041102,1.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0
MpACNpH,1.0,42.033826,1.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
MpACNpNa,1.0,64.016321,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0
MpCH3OHpH,1.0,33.033489,1.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0
MpDMSOpH,1.0,79.02122,1.0,1.0,2.0,7.0,0.0,1.0,1.0,0.0,0.0,1.0
MpH,1.0,1.007276,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
MpHp2Na,3.0,46.9868301,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0
MpHpK,2.0,39.970983,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
MpHpNa,2.0,23.997047,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
MpHpNH4,2.0,38.082198,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0
MpIPpH,1.0,61.06534,1.0,1.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0
MpIPpNapH,2.0,84.05511,1.0,1.0,3.0,9.0,0.0,1.0,0.0,1.0,0.0,2.0
MpK,1.0,38.963707,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
MpNa,1.0,22.989771,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MpNH4,1.0,18.033823,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
