peak_id,phylum_score,class_score,order_score,family_score,genus_score
1336443,1.0,1.0,1.0,0.0,0.0
623742,0.36,0.05,0.05,0.0,0.0
205954,0.53,0.35,0.35,0.0,0.0
812173,0.12,0.02,0.02,0.02,0.0
1254542,,,,,
836748,0.25,0.16,0.16,0.0,0.0
844939,0.15,0.08,0.08,0.0,0.0
640172,0.06,0.04,0.04,0.0,0.0
1180846,0.08,0.02,0.02,0.0,0.0
107695,0.1,0.03,0.03,0.0,0.0
1328304,0.0,0.0,0.0,0.0,0.0
746684,0.09,0.04,0.04,0.0,0.0
1238205,0.15,0.07,0.07,0.0,0.0
713926,0.09,0.07,0.07,0.0,0.0
804042,0.15,0.08,0.08,0.0,0.0
1303756,1.0,1.0,1.0,0.0,0.0
804045,0.0,0.0,0.0,0.0,0.0
804046,0.23,0.08,0.08,0.0,0.0
804044,0.5,0.5,0.5,0.0,0.0
107764,0.5,0.5,0.5,0.0,0.0
1180926,0.1,0.06,0.06,0.0,0.0
1115397,0.22,0.12,0.12,0.0,0.0
107784,0.07,0.0,0.0,0.0,0.0
107792,0.04,0.04,0.04,0.0,0.0
689429,0.13,0.03,0.03,0.0,0.0
738593,0.38,0.21,0.21,0.0,0.0
1148196,0.0,0.0,0.0,0.0,0.0
689448,0.19,0.0,0.0,0.0,0.0
689449,,,,,
1328432,0.33,0.33,0.33,0.0,0.0
845106,0.06,0.02,0.02,0.0,0.0
673076,0.09,0.07,0.07,0.0,0.0
1156412,0.08,0.04,0.04,0.0,0.0
1385807,0.15,0.07,0.07,0.0,0.0
1328468,1.0,1.0,1.0,0.0,0.0
746847,0.21,0.11,0.11,0.0,0.0
1164640,,,,,
689511,0.0,0.0,0.0,0.0,0.0
1312118,0.5,0.5,0.5,0.0,0.0
1312131,,,,,
705935,0.1,0.06,0.06,0.0,0.0
1205658,0.5,0.5,0.5,0.0,0.0
689568,0.0,0.0,0.0,0.0,0.0
689570,,,,,
689571,,,,,
804263,0.11,0.11,0.11,0.0,0.0
804265,0.33,0.33,0.33,0.0,0.0
804264,1.0,1.0,1.0,0.0,0.0
722362,0.08,0.04,0.04,0.0,0.0
1156541,0.04,0.04,0.04,0.0,0.0
689601,0.0,0.0,0.0,0.0,0.0
787907,0.5,0.5,0.5,0.0,0.0
116179,,,,,
746979,0.13,0.02,0.02,0.0,0.0
722410,0.09,0.05,0.05,0.0,0.0
673276,0.12,0.1,0.1,0.0,0.0
812561,0.04,0.0,0.0,0.0,0.0
747033,0.15,0.0,0.0,0.0,0.0
689698,,,,,
689700,,,,,
1394214,0.19,0.09,0.09,0.0,0.0
689701,,,,,
722489,0.05,0.05,0.05,0.0,0.0
706116,0.13,0.1,0.1,0.0,0.0
804432,,,,,
804433,,,,,
804434,0.0,0.0,0.0,0.0,0.0
804435,1.0,1.0,1.0,0.0,0.0
1205845,,,,,
1238617,0.2,0.2,0.2,0.0,0.0
1312345,,,,,
1336934,0.1,0.05,0.05,0.02,0.02
706155,0.14,0.06,0.06,0.0,0.0
1255021,0.5,0.5,0.5,0.0,0.0
1336944,0.0,0.0,0.0,0.0,0.0
616051,0.5,0.5,0.5,0.0,0.0
1295992,0.15,0.09,0.09,0.0,0.0
1255036,0.67,0.33,0.33,0.0,0.0
755331,0.11,0.08,0.08,0.0,0.0
640648,0.11,0.11,0.11,0.0,0.0
788117,0.15,0.07,0.07,0.01,0.01
1197719,0.33,0.2,0.2,0.0,0.0
673440,0.07,0.02,0.02,0.0,0.0
1328807,0.0,0.0,0.0,0.0,0.0
1328815,0.5,0.5,0.5,0.0,0.0
804539,0.5,0.5,0.5,0.0,0.0
804540,1.0,1.0,1.0,0.0,0.0
214717,0.1,0.07,0.07,0.0,0.0
616138,0.33,0.33,0.33,0.0,0.0
763604,,,,,
616155,0.33,0.33,0.33,0.0,0.0
820965,0.14,0.1,0.1,0.0,0.0
616167,0.14,0.14,0.14,0.0,0.0
108267,0.0,0.0,0.0,0.0,0.0
722673,0.12,0.05,0.05,0.0,0.0
780018,0.08,0.04,0.04,0.0,0.0
1124094,0.04,0.0,0.0,0.0,0.0
714495,0.08,0.06,0.06,0.0,0.0
616210,0.62,0.5,0.5,0.12,0.12
616233,0.6,0.4,0.4,0.1,0.1
1124153,0.15,0.08,0.08,0.0,0.0
1328957,1.0,0.5,0.5,0.0,0.0
1247040,0.21,0.03,0.03,0.0,0.0
714561,0.06,0.04,0.04,0.0,0.0
1328968,,,,,
714580,0.09,0.04,0.04,0.0,0.0
1337178,0.31,0.14,0.14,0.0,0.0
1124192,0.06,0.04,0.04,0.0,0.0
1124206,0.1,0.08,0.08,0.0,0.0
780144,0.14,0.07,0.07,0.02,0.02
1148804,0.5,0.5,0.5,0.0,0.0
1353607,0.5,0.5,0.5,0.0,0.0
1337225,0.14,0.02,0.02,0.0,0.0
690064,0.12,0.1,0.1,0.0,0.0
788369,0.5,0.5,0.5,0.0,0.0
788370,,,,,
1214362,0.0,0.0,0.0,0.0,0.0
1337262,0.25,0.25,0.25,0.0,0.0
722862,0.14,0.08,0.08,0.0,0.0
788403,,,,,
739260,0.52,0.26,0.26,0.04,0.0
796608,0.11,0.04,0.04,0.0,0.0
1304519,0.5,0.5,0.5,0.0,0.0
747478,0.08,0.04,0.04,0.0,0.0
1255384,,,,,
763871,0.09,0.08,0.08,0.0,0.0
665568,0.09,0.05,0.05,0.0,0.0
624609,,,,,
624610,,,,,
624611,,,,,
624612,,,,,
1198055,0.0,0.0,0.0,0.0,0.0
1239020,0.5,0.5,0.5,0.0,0.0
853997,0.44,0.26,0.26,0.08,0.03
714762,0.05,0.0,0.0,0.02,0.02
665631,0.07,0.07,0.07,0.0,0.0
1148967,0.14,0.14,0.14,0.0,0.0
1271847,0.2,0.13,0.13,0.02,0.0
878640,0.17,0.08,0.08,0.0,0.0
624700,,,,,
714824,0.09,0.04,0.04,0.0,0.0
829518,0.2,0.12,0.12,0.0,0.0
1239131,0.25,0.25,0.25,0.0,0.0
616553,0.34,0.23,0.23,0.0,0.0
714858,0.05,0.05,0.05,0.0,0.0
698476,0.1,0.07,0.07,0.0,0.0
1353851,0.2,0.11,0.11,0.0,0.0
665730,0.1,0.05,0.05,0.02,0.02
690311,0.06,0.02,0.02,0.0,0.0
616600,0.04,0.02,0.02,0.0,0.0
1116313,0.11,0.07,0.07,0.0,0.0
1271963,0.05,0.05,0.05,0.0,0.0
1190055,0.17,0.17,0.17,0.0,0.0
641199,0.0,0.0,0.0,0.0,0.0
1411262,0.17,0.03,0.03,0.03,0.03
1353920,0.23,0.0,0.0,0.0,0.0
1353924,0.45,0.21,0.21,0.03,0.03
1214685,0.23,0.12,0.12,0.0,0.0
690401,0.05,0.05,0.05,0.0,0.0
1329379,0.33,0.33,0.33,0.0,0.0
1288420,0.0,0.0,0.0,,
