taxonomy_id,name
834,gluconacetobacter
3174,sphingobacterium
996,agaricicola
1555,parviterribacter
313,enterobacillus
2576,compostimonas
359,budvicia
1517,glycomyces
653,eionea
656,pseudomaricurvus
2763,actinoallomurus
2746,herbidospora
1013,pseudophaeobacter
572,thalassotalea
299,raoultella
347,edwardsiella
274,moraxella
351,proteus
1226,chitinimonas
1975,listeria
335,dickeya
700,bradyrhizobium
1595,ensifer
275,psychrobacter
339,yersinia
293,shigella
2727,umezawaea
2742,microtetraspora
2995,myxococcus
2996,corallococcus
3009,chondromyces
2622,mycobacterium
935,gemmobacter
2669,hamadaea
267,leucothrix
1234,trinickia
2512,brevibacterium
3003,archangium
3000,stigmatella
3004,hyalangium
1206,simplicispira
1158,pusillimonas
801,xanthobacter
2004,shimazuella
2750,acrocarpospora
3278,flammeovirga
679,panacagrimonas
3253,spirosoma
3270,fibrella
906,geminicoccus
352,providencia
350,morganella
702,afipia
291,kluyvera
3257,dyadobacter
3025,arcobacter
2782,actinospica
1795,gemmata
3312,hymenobacter
3179,parapedobacter
328,tatumella
791,methylorubrum
681,steroidobacter
